"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","10.2","","","","1"
"2018-02","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","11.1","","","","1"
"2018-03","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","12.2","","","","1"
"2018-04","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","11.5","","","","1"
"2018-05","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","11.9","","","","1"
"2018-06","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","12.0","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","12.7","","","","1"
"2018-08","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","12.8","","","","1"
"2018-09","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","13.2","","","","1"
"2018-10","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","13.1","","","","1"
"2018-11","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","13.7","","","","1"
"2018-12","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","15.2","","","","1"
"2019-01","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","15.6","","","","1"
"2019-02","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","14.9","","","","1"
"2019-03","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","14.1","","","","1"
