"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-03","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","86.3","","","","1"
"2016-04","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","86.4","","","","1"
"2016-05","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","86.6","","","","1"
"2016-06","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","86.8","","","","1"
"2016-07","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","87.0","","","","1"
"2016-08","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","87.2","","","","1"
"2016-09","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","87.4","","","","1"
"2016-10","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","87.5","","","","1"
"2016-11","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","87.6","","","","1"
"2016-12","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","87.8","","","","1"
"2017-01","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","87.9","","","","1"
"2017-02","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","88.0","","","","1"
"2017-03","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","88.2","","","","1"
"2017-04","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","88.3","","","","1"
"2017-05","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","88.4","","","","1"
"2017-06","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","88.5","","","","1"
"2017-07","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","88.7","","","","1"
"2017-08","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","88.9","","","","1"
"2017-09","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.0","","","","1"
"2017-10","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.1","","","","1"
"2017-11","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.2","","","","1"
"2017-12","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.4","","","","1"
"2018-01","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.5","","","","1"
"2018-02","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.6","","","","1"
"2018-03","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.6","","","","1"
"2018-04","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.7","","","","1"
"2018-05","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","89.9","","","","1"
"2018-06","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.0","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.1","","","","1"
"2018-08","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.2","","","","1"
"2018-09","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.3","","","","1"
"2018-10","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.5","","","","1"
"2018-11","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.6","","","","1"
"2018-12","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.7","","","","1"
"2019-01","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.9","","","","1"
"2019-02","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","90.9","","","","1"
"2019-03","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","91.1","","","","1"
"2019-04","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","91.2","","","","1"
"2019-05","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","91.3","","","","1"
"2019-06","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","91.4","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","91.6","","","","1"
"2019-08","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","91.8","","","","1"
"2019-09","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","92.0","","","","1"
"2019-10","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","92.1","","","","1"
"2019-11","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","92.3","","","","1"
"2019-12","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","92.5","","","","1"
"2020-01","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","92.6","","","","1"
"2020-02","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","92.7","","","","1"
"2016-02","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","106.1","","","","1"
"2016-03","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","106.1","","","","1"
"2016-04","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","106.0","","","","1"
"2016-05","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","106.0","","","","1"
"2016-06","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","106.0","","","","1"
"2016-07","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.9","","","","1"
"2016-08","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.7","","","","1"
"2016-09","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.6","","","","1"
"2016-10","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.6","","","","1"
"2016-11","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.5","","","","1"
"2016-12","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.4","","","","1"
"2017-01","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.4","","","","1"
"2017-02","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.3","","","","1"
"2017-03","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.3","","","","1"
"2017-04","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.3","","","","1"
"2017-05","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.2","","","","1"
"2017-06","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.1","","","","1"
"2017-07","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","105.0","","","","1"
"2017-08","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","104.9","","","","1"
"2017-09","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","104.7","","","","1"
"2017-10","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","104.5","","","","1"
"2017-11","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","104.3","","","","1"
"2017-12","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","104.1","","","","1"
"2018-01","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","103.9","","","","1"
"2018-02","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","103.7","","","","1"
"2018-03","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","103.5","","","","1"
"2018-04","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","103.3","","","","1"
"2018-05","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","103.1","","","","1"
"2018-06","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","102.9","","","","1"
"2018-07","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","102.7","","","","1"
"2018-08","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","102.5","","","","1"
